Filename	HasTarget	TargetCenterX	TargetCenterY	TargetWidth	TargetHeight	TargetAngle
frame0266.jpg	1	246.398	128.514	67.057	118.474	79.648
frame0267.jpg	1	265.654	124.199	66.036	116.809	81.614
frame0268.jpg	1	300.336	118.375	64.557	114.564	84.971
frame0269.jpg	1	325.585	115.851	63.578	114.143	87.409
frame0270.jpg	1	338.818	115.308	63.346	114.117	88.514
frame0271.jpg	1	339.408	115.334	63.427	114.755	88.854
frame0272.jpg	1	335.334	115.554	63.604	114.518	88.213
frame0273.jpg	1	331.174	115.618	63.617	114.400	87.864
frame0274.jpg	1	319.386	114.718	63.750	114.724	86.803
frame0275.jpg	1	232.698	133.634	65.275	118.546	78.708
frame0276.jpg	1	224.418	146.833	65.340	119.103	77.878
frame0277.jpg	1	224.534	150.070	64.814	119.266	78.287
frame0278.jpg	1	226.173	153.340	64.725	118.879	78.231
frame0279.jpg	1	275.892	157.714	60.188	113.173	83.110
frame0280.jpg	1	304.660	156.500	57.593	110.558	86.019
frame0281.jpg	1	325.483	156.422	56.731	106.723	87.631
frame0282.jpg	1	369.416	157.995	54.247	107.227	91.974
frame0283.jpg	1	394.809	159.988	52.756	107.669	93.714
frame0284.jpg	1	432.752	164.516	52.302	109.008	96.790
frame0285.jpg	1	472.180	171.752	52.543	113.401	99.868
frame0286.jpg	1	512.192	180.633	53.001	119.951	102.264
frame0287.jpg	1	541.422	189.144	53.881	127.187	104.137
frame0288.jpg	1	558.143	194.967	54.308	132.469	104.916
frame0289.jpg	1	580.340	204.788	55.554	139.561	106.130
frame0290.jpg	1	582.077	206.463	55.812	139.768	106.150
frame0291.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0292.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0293.jpg	1	559.093	204.187	54.221	135.855	105.613
frame0294.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0295.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0296.jpg	1	509.053	201.613	55.829	126.365	103.640
frame0297.jpg	1	487.489	200.644	57.433	123.717	102.538
frame0298.jpg	1	472.496	200.704	58.180	122.920	101.568
frame0299.jpg	1	467.434	200.618	58.487	122.433	101.117
frame0300.jpg	1	444.908	201.434	60.353	122.021	99.592
frame0301.jpg	1	429.816	202.684	62.099	122.524	98.723
frame0302.jpg	1	416.441	204.966	63.918	123.134	97.680
frame0303.jpg	1	404.385	208.040	66.085	124.042	96.734
frame0304.jpg	1	393.792	211.887	67.586	125.674	95.604
frame0305.jpg	1	379.770	217.662	71.600	127.884	94.850
frame0306.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0307.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0308.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0309.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0310.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0311.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0312.jpg	1	327.774	246.165	94.912	146.463	89.930
frame0313.jpg	1	323.080	251.108	98.603	149.676	89.569
frame0314.jpg	1	315.399	254.934	102.386	151.979	88.528
frame0315.jpg	1	312.008	256.674	104.413	153.567	88.013
frame0316.jpg	1	304.475	263.663	112.154	158.842	86.651
frame0317.jpg	1	300.682	270.535	116.248	160.607	85.941
frame0318.jpg	1	295.106	275.739	118.886	162.019	84.614
frame0319.jpg	1	291.022	273.477	120.429	164.061	84.131
frame0320.jpg	1	288.528	270.730	121.935	165.263	83.731
frame0321.jpg	1	286.313	267.842	124.623	167.398	83.297
frame0322.jpg	1	285.670	265.723	127.717	170.052	83.348
frame0323.jpg	1	288.457	261.960	131.142	171.978	83.428
frame0324.jpg	1	295.555	258.548	136.967	174.954	84.237
frame0325.jpg	1	298.359	258.139	139.021	175.934	84.767
frame0326.jpg	1	301.861	264.880	144.088	178.466	84.942
frame0327.jpg	1	304.849	262.768	150.092	182.990	85.102
frame0328.jpg	1	301.013	254.388	161.231	190.248	83.895
frame0329.jpg	1	300.876	252.471	165.772	192.999	83.779
frame0330.jpg	1	300.450	252.143	169.410	195.660	83.415
frame0331.jpg	1	300.353	252.719	174.892	199.116	83.135
frame0332.jpg	1	300.744	253.970	179.250	201.987	82.892
frame0333.jpg	1	299.847	254.639	185.109	205.801	82.382
frame0334.jpg	1	301.468	255.587	187.944	208.299	82.875
frame0335.jpg	1	304.816	257.972	195.970	212.289	82.628
frame0336.jpg	1	308.653	260.811	204.381	219.232	84.772
frame0337.jpg	1	312.190	264.695	212.824	225.930	85.953
frame0338.jpg	1	314.734	267.269	221.944	233.453	85.903
frame0339.jpg	1	316.012	268.665	230.136	239.818	87.069
frame0340.jpg	1	314.694	271.711	239.188	246.559	84.293
frame0341.jpg	1	310.760	275.002	249.212	254.902	80.900
frame0342.jpg	1	309.650	276.576	253.142	260.742	79.375
frame0343.jpg	1	303.367	281.836	271.033	275.854	63.079
frame0344.jpg	1	299.858	283.987	280.487	285.361	57.440
frame0345.jpg	1	292.764	284.422	291.890	298.437	53.763
frame0346.jpg	1	286.696	279.481	296.099	303.886	59.418
frame0347.jpg	1	282.227	269.840	289.560	296.930	57.442
frame0348.jpg	1	280.103	258.053	277.490	284.904	62.803
frame0349.jpg	1	277.299	214.454	240.538	248.301	72.827
frame0350.jpg	1	275.432	193.109	228.200	236.889	76.123
frame0351.jpg	1	273.049	169.093	217.787	227.940	74.199
frame0352.jpg	1	268.790	133.989	206.892	219.625	76.462
frame0353.jpg	1	264.344	105.965	200.804	215.605	78.168
frame0354.jpg	1	260.455	80.434	195.598	212.076	77.427
frame0355.jpg	1	257.793	70.786	194.045	210.964	78.530
frame0356.jpg	1	246.351	0.385	181.467	205.448	74.917
frame0357.jpg	1	246.193	-37.599	185.070	217.702	61.714
frame0358.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0359.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0360.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0361.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0362.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0363.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0364.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0365.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0366.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0367.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0368.jpg	1	300.237	-3.075	45.139	127.992	87.762
frame0369.jpg	1	303.943	13.347	65.978	138.069	89.528
frame0370.jpg	1	310.282	40.942	71.679	132.631	89.306
frame0371.jpg	1	315.988	37.300	70.403	131.838	89.870
frame0372.jpg	1	333.332	37.127	69.859	131.276	91.087
frame0373.jpg	1	339.169	39.190	70.679	132.253	91.736
frame0374.jpg	1	344.009	42.154	72.585	134.153	92.359
frame0375.jpg	1	346.080	44.149	73.877	134.854	92.317
frame0376.jpg	1	348.749	50.161	76.670	137.629	92.881
frame0377.jpg	1	349.908	60.438	80.787	139.836	92.853
frame0378.jpg	1	351.430	68.924	83.124	141.570	93.296
frame0379.jpg	1	351.548	79.293	85.172	143.839	93.558
frame0380.jpg	1	357.033	135.389	99.354	156.442	94.363
frame0381.jpg	1	354.263	153.538	105.803	160.426	94.295
frame0382.jpg	1	351.080	163.778	110.822	164.309	93.881
frame0383.jpg	1	342.384	187.868	124.657	174.543	93.208
frame0384.jpg	1	338.407	247.617	157.164	194.220	93.648
frame0385.jpg	1	339.525	256.791	163.391	198.554	94.097
frame0386.jpg	1	342.926	269.226	173.629	205.748	95.471
frame0387.jpg	1	340.751	328.840	216.267	231.749	102.388
frame0388.jpg	1	336.020	347.530	231.637	240.695	105.912
frame0389.jpg	1	331.125	363.894	241.849	247.999	104.396
frame0390.jpg	1	324.265	373.434	246.176	253.447	88.633
frame0391.jpg	1	321.923	386.230	258.809	260.525	6.260
frame0392.jpg	1	319.253	392.018	262.515	265.663	13.783
frame0393.jpg	1	316.813	385.664	263.809	267.453	10.217
frame0394.jpg	1	315.755	367.495	256.933	261.827	69.370
frame0395.jpg	1	315.147	355.281	256.778	260.762	59.224
frame0396.jpg	1	313.903	340.430	252.276	260.037	82.128
frame0397.jpg	1	312.963	318.162	251.534	257.266	75.105
frame0398.jpg	1	313.962	294.837	244.844	253.296	87.059
frame0399.jpg	1	317.116	259.517	238.992	249.010	89.366
frame0400.jpg	1	320.281	238.595	237.874	249.083	92.519
frame0401.jpg	1	323.130	219.856	237.302	250.193	94.173
frame0402.jpg	1	324.490	205.592	238.478	250.872	92.956
frame0403.jpg	1	325.245	198.250	241.050	255.035	92.113
frame0404.jpg	1	326.079	185.256	250.085	261.909	93.476
frame0405.jpg	1	325.800	174.265	258.582	271.955	93.100
frame0406.jpg	1	324.539	165.771	268.037	280.857	92.431
frame0407.jpg	1	321.001	152.314	307.492	317.694	93.470
frame0408.jpg	1	320.894	155.597	344.930	355.924	94.069
frame0409.jpg	1	322.183	153.305	364.754	375.845	99.731
frame0410.jpg	1	326.186	152.162	363.898	376.122	100.081
frame0411.jpg	1	336.271	156.298	337.085	347.294	103.504
frame0412.jpg	1	339.080	160.057	312.047	322.944	100.678
frame0413.jpg	1	340.200	160.973	281.343	291.488	99.871
frame0414.jpg	1	341.946	158.155	257.102	268.833	99.811
frame0415.jpg	1	342.167	152.046	236.040	246.673	100.468
frame0416.jpg	1	341.924	149.640	224.257	236.231	96.728
frame0417.jpg	1	342.499	147.406	214.244	225.003	98.348
frame0418.jpg	1	347.937	143.921	198.688	210.897	99.632
frame0419.jpg	1	357.466	140.486	187.299	200.679	100.647
frame0420.jpg	1	372.763	138.720	182.234	195.377	105.096
frame0421.jpg	1	388.466	138.969	181.068	195.932	108.878
frame0422.jpg	1	402.457	143.509	180.901	196.543	111.793
frame0423.jpg	1	418.942	148.676	180.794	198.014	114.635
frame0424.jpg	1	441.586	152.582	179.937	199.734	118.449
frame0425.jpg	1	450.463	153.756	179.211	200.181	119.679
frame0426.jpg	1	465.811	154.740	177.213	198.738	122.037
frame0427.jpg	1	479.905	164.344	173.482	198.173	122.618
frame0428.jpg	1	486.314	175.391	172.134	196.770	124.255
frame0429.jpg	1	493.182	184.752	172.316	198.784	125.504
frame0430.jpg	1	508.098	191.451	174.130	203.894	125.785
frame0431.jpg	1	515.724	194.596	175.238	206.739	124.609
frame0432.jpg	1	520.964	195.691	175.657	208.118	126.186
frame0433.jpg	1	530.576	195.278	175.756	210.724	124.542
frame0434.jpg	1	541.408	180.001	172.487	212.179	124.363
frame0435.jpg	1	564.015	162.058	169.891	215.174	123.114
frame0436.jpg	1	578.449	153.117	167.698	214.692	122.900
