Filename	HasTarget	TargetCenterX	TargetCenterY	TargetWidth	TargetHeight	TargetAngle
frame0652.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0653.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0654.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0655.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0656.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0657.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0658.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0659.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0660.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0661.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0662.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0663.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0664.jpg	1	337.678	369.457	95.289	106.707	84.201
frame0665.jpg	1	337.777	344.511	100.475	108.597	85.329
frame0666.jpg	1	339.678	310.457	102.372	109.154	83.251
frame0667.jpg	1	339.534	276.616	104.174	110.649	81.819
frame0668.jpg	1	338.258	230.564	106.436	111.849	80.862
frame0669.jpg	1	337.762	204.810	107.572	112.577	80.124
frame0670.jpg	1	337.340	167.713	108.719	113.559	82.760
frame0671.jpg	1	336.195	134.195	109.162	113.640	81.512
frame0672.jpg	1	334.785	100.414	108.614	114.138	84.049
frame0673.jpg	1	334.463	76.772	107.518	113.636	84.546
frame0674.jpg	1	333.893	44.973	106.172	113.324	86.141
frame0675.jpg	1	333.243	17.406	103.102	112.481	85.428
frame0676.jpg	1	332.585	-3.543	100.184	112.201	87.580
frame0677.jpg	1	333.762	-18.345	81.399	104.574	86.225
frame0678.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0679.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0680.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0681.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0682.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0683.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0684.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0685.jpg	0	0.000	0.000	0.000	0.000	0.000
frame0686.jpg	0	0.000	0.000	0.000	0.000	0.000
