Filename	HasTarget	TargetCenterX	TargetCenterY	TargetWidth	TargetHeight	TargetAngle
frame0200.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0201.jpg	1	262.417	-10.164	41.206	169.633	84.631
frame0202.jpg	1	260.037	29.806	53.864	159.787	84.289
frame0203.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0204.jpg	1	260.675	56.528	59.729	152.523	83.753
frame0205.jpg	1	259.991	66.959	65.031	155.099	83.600
frame0206.jpg	1	258.375	77.765	67.805	152.697	83.203
frame0207.jpg	1	254.461	86.976	70.368	152.137	82.848
frame0208.jpg	1	252.717	91.686	71.500	152.419	82.648
frame0209.jpg	1	251.157	107.929	71.453	151.893	82.527
frame0210.jpg	1	250.223	125.720	68.135	148.295	82.441
frame0211.jpg	1	249.199	138.048	68.153	147.967	82.347
frame0212.jpg	1	247.787	146.612	71.202	150.865	82.537
frame0213.jpg	1	246.601	158.778	71.794	151.239	82.285
frame0214.jpg	1	246.194	164.898	71.771	151.110	82.342
frame0215.jpg	1	246.270	174.444	68.865	148.441	82.281
frame0216.jpg	1	245.166	188.694	72.674	152.067	82.196
frame0217.jpg	1	244.581	197.565	72.916	152.807	82.387
frame0218.jpg	1	244.168	201.675	72.961	153.216	82.428
frame0219.jpg	1	244.387	200.923	72.554	153.945	82.557
frame0220.jpg	1	242.774	201.162	69.735	151.782	82.282
frame0221.jpg	1	239.413	201.467	74.116	156.078	81.953
frame0222.jpg	1	234.230	203.468	75.268	158.593	81.443
frame0223.jpg	1	217.521	207.145	78.641	166.231	80.308
frame0224.jpg	1	211.236	200.640	76.957	165.715	79.751
frame0225.jpg	1	203.465	193.097	82.090	172.058	79.133
frame0226.jpg	1	191.884	185.424	85.414	177.157	77.839
frame0227.jpg	1	182.345	181.916	88.085	181.108	76.826
frame0228.jpg	1	169.453	179.898	87.093	183.772	75.919
frame0229.jpg	1	155.489	175.184	92.249	192.004	74.909
frame0230.jpg	1	144.813	171.500	94.148	195.549	74.919
frame0231.jpg	1	128.858	167.646	90.493	199.370	73.647
frame0232.jpg	1	118.476	164.222	90.735	203.737	73.278
frame0233.jpg	1	108.106	161.202	91.143	208.471	72.979
frame0234.jpg	1	94.175	159.638	92.025	214.604	72.236
frame0235.jpg	1	83.779	160.306	93.103	219.272	71.747
frame0236.jpg	1	66.700	165.646	95.107	224.848	70.826
frame0237.jpg	1	60.199	158.076	91.379	224.033	71.313
frame0238.jpg	1	57.664	148.233	87.479	221.020	71.755
frame0239.jpg	1	52.579	134.864	81.805	215.623	72.380
frame0240.jpg	1	47.800	130.960	79.539	213.225	72.440
frame0241.jpg	1	44.821	130.218	78.622	212.621	72.446
frame0242.jpg	1	42.267	129.259	77.886	211.671	72.378
frame0243.jpg	1	38.033	126.068	76.042	210.059	72.529
frame0244.jpg	1	28.847	114.441	70.878	205.139	73.026
frame0245.jpg	1	27.192	112.633	69.901	203.463	73.012
frame0246.jpg	1	22.591	112.033	68.755	203.350	73.087
frame0247.jpg	1	10.902	109.949	66.520	202.603	73.104
frame0248.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0249.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0250.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0251.jpg	1	-11.884	95.161	58.580	191.036	74.197
frame0252.jpg	1	-2.675	93.195	59.109	192.354	74.502
frame0253.jpg	1	19.109	91.844	58.741	184.839	74.362
frame0254.jpg	1	35.794	90.963	58.966	178.007	74.314
frame0255.jpg	1	63.048	88.560	64.520	173.311	75.020
frame0256.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0257.jpg	1	114.799	88.293	60.772	159.646	75.877
frame0258.jpg	1	121.569	88.107	60.839	158.311	76.072
frame0259.jpg	1	160.617	84.279	60.911	151.741	77.508
frame0260.jpg	1	176.182	81.115	60.438	149.613	78.407
frame0261.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0262.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0263.jpg	1	209.882	72.667	59.304	146.945	80.341
frame0264.jpg	1	214.736	69.516	58.813	146.950	80.715
frame0265.jpg	1	219.441	65.527	61.370	151.093	81.096
frame0266.jpg	1	222.230	65.469	62.099	152.163	81.230
frame0267.jpg	1	224.077	68.999	64.472	155.350	81.202
frame0268.jpg	1	223.039	77.992	70.104	161.128	80.744
frame0269.jpg	1	219.341	89.682	76.644	167.334	79.961
frame0270.jpg	1	218.278	93.792	78.712	169.611	79.742
frame0271.jpg	1	207.151	123.332	95.027	186.044	77.811
frame0272.jpg	1	195.608	137.067	103.715	197.613	76.513
frame0273.jpg	1	178.281	148.385	112.343	211.913	74.775
frame0274.jpg	1	170.764	152.671	115.815	218.016	74.086
frame0275.jpg	1	161.241	158.475	120.318	226.376	73.224
frame0276.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0277.jpg	1	122.019	180.888	127.604	247.474	69.887
frame0278.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0279.jpg	1	108.702	182.248	127.660	253.021	69.087
frame0280.jpg	1	103.180	185.955	128.893	255.908	68.606
frame0281.jpg	1	88.842	193.596	130.405	261.458	67.691
frame0282.jpg	1	76.755	191.517	131.024	264.351	67.274
frame0283.jpg	1	65.931	184.100	125.415	263.132	67.758
frame0284.jpg	1	62.818	180.919	123.235	262.189	67.921
frame0285.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0286.jpg	1	58.828	175.667	116.212	258.792	68.542
frame0287.jpg	1	57.266	169.519	112.299	254.835	68.949
frame0288.jpg	1	56.582	165.658	113.557	253.385	68.842
frame0289.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
frame0290.jpg	1	43.802	152.771	99.699	245.355	69.953
frame0291.jpg	1	38.009	146.233	99.376	240.530	69.847
frame0292.jpg	1	-1.000	-1.000	-1.000	-1.000	-1.000
